# of SOMs,# of classes,It-1,It-2,It-3,It-4,It-5,It-6,It-7,It-8
10,2,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0
10,3,1.0,1.0,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,0.8333333333333334
10,4,1.0,0.975,0.925,0.95,1.0,0.975,0.875,0.975
10,5,0.94,0.96,0.98,0.98,0.94,0.98,0.98,1.0
10,6,0.9166666666666666,0.75,0.8666666666666667,0.9666666666666667,0.85,0.9166666666666666,0.9333333333333333,0.95
10,7,0.9714285714285714,0.9,0.8714285714285714,0.9571428571428572,0.9857142857142858,0.9571428571428572,0.9428571428571428,0.8714285714285714
10,8,0.95,0.8875,0.925,0.9,0.95,0.95,0.8625,0.9
10,9,0.9555555555555556,0.9444444444444444,0.9777777777777777,0.9333333333333333,0.8777777777777778,0.9,0.7666666666666667,0.9222222222222223
10,10,0.83,0.93,0.83,0.87,0.88,0.86,0.87,0.9
10,11,0.8363636363636363,0.9272727272727272,0.8090909090909091,0.8727272727272727,0.9181818181818182,0.9454545454545454,0.8,0.9818181818181818
10,12,0.9083333333333333,0.95,0.925,0.9666666666666667,0.8416666666666667,0.8833333333333333,0.85,0.925
10,13,0.9307692307692308,0.9076923076923077,0.9076923076923077,0.9230769230769231,0.9076923076923077,0.9230769230769231,0.9153846153846154,0.9461538461538461
10,14,0.9214285714285714,0.8928571428571429,0.8928571428571429,0.9142857142857143,0.9285714285714286,0.9071428571428571,0.9214285714285714,0.9642857142857143
10,15,0.88,0.9266666666666666,0.86,0.8266666666666667,0.9133333333333333,0.92,0.9266666666666666,0.9266666666666666
10,16,0.8125,0.8625,0.9,0.8,0.90625,0.83125,0.85625,0.88125
10,17,0.8470588235294118,0.8470588235294118,0.9117647058823529,0.8470588235294118,0.8941176470588236,0.9058823529411765,0.9117647058823529,0.8294117647058824
10,18,0.9,0.8444444444444444,0.7777777777777778,0.8111111111111111,0.7722222222222223,0.7277777777777777,0.85,0.8388888888888889
10,19,0.8526315789473684,0.8894736842105263,0.8526315789473684,0.8,0.7842105263157895,0.8263157894736842,0.8368421052631579,0.7526315789473684
10,20,0.82,0.755,0.865,0.725,0.815,0.865,0.89,0.775
10,21,0.8571428571428571,0.8333333333333334,0.8476190476190476,0.861904761904762,0.8333333333333334,0.8714285714285714,0.8571428571428571,0.8571428571428571
